ランク,タイトル,URL
1,小物貴族が性に合うようです,https://kakuyomu.jp/works/16818093090029707259
2,じゃあ俺だけネトゲのキャラ使うわ【書籍化決定】,https://kakuyomu.jp/works/16818093093558400360
3,史上最強の極悪貴族に転生後、モブとして生活するため、「あえて原作通り」の悪役ムーブ＆超絶無双　かくして世界は救われ、俺は目立つことなく平穏な人生を……って、なんでヒロイン達がこっちに来てんの！？,https://kakuyomu.jp/works/16818622171183189134
4,Ｇ級覚醒者だけど、うちの召喚獣が強すぎる,https://kakuyomu.jp/works/16818622170501058588
5,とっとと追放されて死にゲーから逃げたいモブ vs その輝きに瞳を焼かれて病んじゃったパーティー,https://kakuyomu.jp/works/16818622170233938489
6,鬼の嫁入り,https://kakuyomu.jp/works/16818093081645756900
7,ヒモ貴族転生。女勇者を回避して、姫君やご令嬢ばかりの世界でゆるーく華麗に無双する,https://kakuyomu.jp/works/16818622170275797116
8,最弱の猫ですが、進化を繰り返せば最強になれますか？,https://kakuyomu.jp/works/16818093094279098960
9,身内向けダンジョン配信していたのに気付いたら世界中が俺に注目してるんだけどなんで！？,https://kakuyomu.jp/works/16818622171257252749
10,ぼっちなS級探索者、学生時代に戻ったので青春をやり直す～最強ぼっちは学校一の美少女たちにガチ恋されてるようです～,https://kakuyomu.jp/works/16818093094470119876
11,世界最強の極悪貴族は、謙虚堅実に努力する～原作知識と固有魔法＜虚空＞を駆使して、破滅エンドを回避します～,https://kakuyomu.jp/works/16818093087479543721
12,恋人をNTRれて絶望していたら、清楚可憐な幼馴染がやたらと俺を構ってくる。,https://kakuyomu.jp/works/16818093094054726419
13,破滅フラグしかない悪役奴隷商人は、死にたくないので回復魔法を修行します～欠損奴隷を安く買って治癒して高値で売りつけてたらめちゃくちゃ儲かってなぜか感謝までされました～,https://kakuyomu.jp/works/16818622170494411886
14,ただの後方腕組転生者、うっかり勇者に拍手を送ったら黒幕扱いされる。,https://kakuyomu.jp/works/16818093077104932645
15,【爆アド】生まれた直後から最強悪霊と脳内バトルしてたら魔力量が測定可能域を超えてました〜悪憑の子の謙虚な覇道〜,https://kakuyomu.jp/works/16818093093607351503
16,（web版）新米魔女の異世界お気楽旅 ～異世界に落ちた元アラフォー社畜は魔女の弟子を名乗り第二の人生を謳歌する～,https://kakuyomu.jp/works/16817330661249565996
17,【書籍化】お前ら早く結婚しろよっ！そう言われてる女子が３人いるんですけど？,https://kakuyomu.jp/works/16818093089537557572
18,前世の記憶を思い出した俺、クズ令息に転生したようだが前世でプレイしていたゲームの能力を引き継いでいたようなので何とかなりそうです。,https://kakuyomu.jp/works/16818622171400127537
19,貞操逆転世界で普通に過ごしていたら、知らない間に初恋を奪いBSSならぬWSSを量産していたようです,https://kakuyomu.jp/works/16818622171080421133
20,追放系の悪役パーティのリーダーに転生したので、ざまぁされる前に自分を追放しました。～スキルを奪う『スティール』って悪役過ぎるけど強すぎる～,https://kakuyomu.jp/works/16818093080048303277
21,全滅エンドを死に物狂いで回避した。パーティが病んだ。,https://kakuyomu.jp/works/16816927862837735796
22,どうせ主人公に倒される悪役なので、それまで完全解放した禁術で好き放題やるわ～えっ、根がいい奴だからってヒロインだけじゃなく主人公の好感度も最初からMAXだと!?　いや絶対気のせいだ。騙されないぞ～,https://kakuyomu.jp/works/16818093094618995915
23,電車で殴られてるイケメン男子高校生を助けたら女子高の王子様だった件,https://kakuyomu.jp/works/16818093094782556338
24,海外のエロ動画サイトで俺だけ無修正ダンジョン配信　～無双してスパチャNo.1になったら世界中の女性パフォーマーから罵詈雑言がDMで届きました～【配慮版】,https://kakuyomu.jp/works/16818093084526944064
25,穴中ヌルの華麗なる貴族生活,https://kakuyomu.jp/works/16818093093147849278
26,【カクヨムコン受賞】仮面の黒騎士。正体バレたのでもう学園でも無双する,https://kakuyomu.jp/works/16817330668938362906
27,ドラゴンライダーに憧れて　～仲魔と歩む竜騎譚　転生テイマーパルムの冒険～,https://kakuyomu.jp/works/16818093087617429811
28,【3/24書籍発売】異世界旅はニワトリスと共に,https://kakuyomu.jp/works/16817330668975359039
29,排水溝につまったスライムを日々かたづけるだけの底辺職、なぜか実力者たちの熱い視線を集めてしまう,https://kakuyomu.jp/works/16818093093958844241
30,ダンジョン攻略に３年も掛かってしまった俺は王都に戻ると死亡扱いになっていた。,https://kakuyomu.jp/works/16817330668895916545
31,アイドル人気ランキング最下位厨、黙って応援し続けていたらいつの間にか修羅場になっていた件,https://kakuyomu.jp/works/16818622170588875857
32,ダンジョンサバイバルinゾンビワールド,https://kakuyomu.jp/works/16818093093549908428
33,【web版】放課後、ファミレスで、クラスのあの子と。,https://kakuyomu.jp/works/16817139558048235971
34,上司に怠慢と言われたので異世界転居します。騙され森の家買ったけどスキル『モデリング』で森林開拓してたらいつの間にか神獣達に愛されてた～異世界セミファイア生活～,https://kakuyomu.jp/works/16818622171886493738
35,【異世界ガイドマップ】5.0★★★★★(57894件) を手に入れたので【クチコミ】を頼りに悠々自適な異世界旅行スローライフを満喫します,https://kakuyomu.jp/works/16817330669743197880
36,【書籍化】剣の修羅　異端陰陽師の剣撃譚,https://kakuyomu.jp/works/16818093075332817007
37,校内ラジオで恋愛相談をしてたはずが、気づけば学園の美少女たちに言い寄られてた,https://kakuyomu.jp/works/16818093094755540556
38,戦えない俺のギフトは『美容』だけど、美少女には最強バフ効果のSランクらしい,https://kakuyomu.jp/works/16818093093856195010
39,妹とTPSするために修行してたらなんか世界記録だしてなんか有名Vtuberに目をつけられてなんか大バズりした,https://kakuyomu.jp/works/16818622171811208654
40,(リメイク版)幼馴染だからと言って余裕かましてる主人公とエロゲ竿役として転生した俺,https://kakuyomu.jp/works/16818093093039266053
41,【書籍化】魔眼の悪役に転生したので推しキャラを見守るモブを目指します,https://kakuyomu.jp/works/16817330661208772771
42,貧乏家族の長男ですが、家族のために頑張ってたら魔法の才能が覚醒しました,https://kakuyomu.jp/works/16818622170990767935
43,戦闘員K！強すぎる！,https://kakuyomu.jp/works/16818093094264573652
44,オタクを拗らせて人間関係が崩壊した俺がいつのまにか男の少ない世の中に転生？していた,https://kakuyomu.jp/works/16818093086328995985
45,貞操逆転世界での俺、気軽にヤれるビッチ♂だと盛りのついた女子たちの間で噂になっていく,https://kakuyomu.jp/works/16818093093605365078
46,攻略成功率０．０１％の裏攻略対象に転生した俺が美少女キャラたちに攻略されるわけがない,https://kakuyomu.jp/works/16818093090534531997
47,まずはキャラクリ50時間,https://kakuyomu.jp/works/16818093088268763275
48,ゴーレムマスター　～MAKE　MY　LADY～,https://kakuyomu.jp/works/16818023214060375453
49,家出していた先輩を家に泊めた結果、美人な先輩たちが集まり始めた件,https://kakuyomu.jp/works/16818093088998759017
50,滅亡国家のラグナテア　～リアルがゲームに入れ替ったけどデータ引き継ぎで現代無双～,https://kakuyomu.jp/works/16818093090989226388
51,#15年片思いチャレンジしましたが振られました。その後、事故死したはずの俺は15年前にタイムスリップして、別の人と恋をする。,https://kakuyomu.jp/works/16818622171530514034
52,ダンジョンは努力しか勝たん　クラスメイトがチートを失ったが努力家の俺には関係ない,https://kakuyomu.jp/works/16818093092299382789
53,宝くじが当たったボッチの俺が、高嶺の花で隠れドスケベな巨乳生徒会長を買ったら、日々エロく迫られて人生が変わった,https://kakuyomu.jp/works/16818622171274581043
54,嫁の浮気を疑ったら、俺はいつの間にかど田舎暮らしをすることになったんだが,https://kakuyomu.jp/works/16818622170205333873
55,学年一の美少女は、夜の方が凄かった,https://kakuyomu.jp/works/1177354054895223219
56,カードゲーム世界に転生したけど所持デッキが激ヤバすぎる件,https://kakuyomu.jp/works/16818093092978557422
57,学園のトップ３美女がバ先で全員俺の部下　～君たち高嶺の花なんだから、平凡男子に甘えるのはやめましょう,https://kakuyomu.jp/works/16818622170188031228
58,死にゲー世界をクリアしたら、悪役貴族に転生したんだが～破滅フラグとか言われても、そもそも不死身です～,https://kakuyomu.jp/works/16818093091703720934
59,ダンジョンで始めるヒロインテイマーと調教ミッション!～最近、強く可愛く美しい女性冒険者たちが話題ですね。……あれ全部俺の従者です!～,https://kakuyomu.jp/works/16818093094733503328
60,俺の嫁が可愛すぎるので、とりあえず隣国を滅ぼすことにした。,https://kakuyomu.jp/works/16818622171651699392
61,悪役転生ー努力に疲れた僕はサボるぜ！平和ボケのサボり魔は破滅を回避する！,https://kakuyomu.jp/works/16818093093027265927
62,魔法コード解析して魔道具作ってたら魔王学園生徒会長にヘッドハンティングされた～魔法技師の楽しい魔道具作りライフ～,https://kakuyomu.jp/works/16818093093607830799
63,催眠アプリ手に入れたから好き勝手する！,https://kakuyomu.jp/works/16817139555217983105
64,【書籍化決定】羅刹の銀河　～取り返しのつかないタイミングで冒頭で死ぬキャラになったので本当に好き放題したら英雄になった～,https://kakuyomu.jp/works/16818093094077485474
65,【書籍化決定】魔術漁りは選び取る,https://kakuyomu.jp/works/16817330668503046681
66,嫁無双　〜転生したら異世界に嫁がいた件について〜,https://kakuyomu.jp/works/16818093083666986041
67,毒舌クール系ギャルの霧切さんをナンパから助けたら、次の日から俺の家に入り浸るようになった件。,https://kakuyomu.jp/works/16818093074301148276
68,TS転生者、前世の技術を活かして大バズり。瞬く間に一大Vtuberになった件,https://kakuyomu.jp/works/16818093092898915393
69,僕は理想の怪人Aとなって悪を執行いたします～最強怪人の世直し無双,https://kakuyomu.jp/works/16818023214312708566
70,悪の王道を突き進む～悪役貴族に転生したので最高の悪役を目指す事にする～,https://kakuyomu.jp/works/16818093094336329044
71,破滅確定の悪役貴族、【絶対快眠】スキルで最強魔法使いになったので、学園スローライフを満喫する,https://kakuyomu.jp/works/16818093094084116982
72,幽閉された王女ですが、生きのびるために努力していたら強くなりすぎてました　～レベリング好きゲーマーの異世界転生～,https://kakuyomu.jp/works/16818622170636502235
73,戦乱世界の〝第三勢力〟,https://kakuyomu.jp/works/16818622170904321138
74,モンスターが現れるようになった現代世界で悪魔として生きていく,https://kakuyomu.jp/works/16818093094076464611
75,魔法チートで異世界スローライフ 〜修行なしで魔法を使えるってよく考えたらチートだよな？〜,https://kakuyomu.jp/works/16818093089429818569
76,努力家な転生第六皇子～前世凡人だった第六皇子、幼少期からの努力の果てに『禁忌魔法』を会得し、世界最高峰の天才と化す,https://kakuyomu.jp/works/16818622171396447975
77,過去に戻ったら元嫁が俺に熱烈アプローチしてきて困っています,https://kakuyomu.jp/works/16818622171059919552
78,追放騎士は冒険者に転職する　〜元騎士隊長のおっさん、実力隠して異国の田舎で自由気ままなスローライフを送りたい〜,https://kakuyomu.jp/works/16818093091870749139
79,悪役一家の末っ子に転生した俺、家族を守るために破滅フラグをぶっ壊す,https://kakuyomu.jp/works/16818023212752718993
80,入居者全滅事故物件,https://kakuyomu.jp/works/16817330665967819006
81,住んでる場所が田舎すぎて、ダンジョン探索者が俺一人なんだが？,https://kakuyomu.jp/works/16817330661274615404
82,俺の愛娘は悪役令嬢【Web版】,https://kakuyomu.jp/works/16818093075414183214
83,疎遠になってた元ガキ大将のムチムチポニテ幼馴染との青春を高校生活から書き直す,https://kakuyomu.jp/works/16818622170943225741
84,勇者パーティーを裏切ったらざまぁされて滅びることになった王国の最後の三日間,https://kakuyomu.jp/works/16818622171912650298
85,魔法が使いたくて魔力を鍛えた、肉が食いたくて狩りをした、そしたら最強になっていたので……,https://kakuyomu.jp/works/16818093093962222768
86,平凡公務員の異世界転移～ガチャにすべてをかける運頼みライフ～,https://kakuyomu.jp/works/16818093091893147484
87,幻獣を従える者,https://kakuyomu.jp/works/16818093090614236361
88,能ある龍は爪を隠す〜無能と罵られた男爵家長男、実は世界最強の一角につき〜,https://kakuyomu.jp/works/16818093088094556589
89,転生魔術師のゼロから学ぶ現代魔法,https://kakuyomu.jp/works/16818093094751668110
90,ハクスラゲーム転生,https://kakuyomu.jp/works/16818023214162998392
91,ニコルと薬師家族は自由に生きる,https://kakuyomu.jp/works/16818093090590151657
92,Subjects Runes ～高速詠唱と現代知識で戦乱の貴族社会をのし上がる～,https://kakuyomu.jp/works/16818093092876692662
93,貞操逆転世界になってるんだけど！？,https://kakuyomu.jp/works/16818622171378807039
94,【書籍化決定】俺の魔力が理不尽に多いのはもう分かった！　あとは可憐な嫁をもらうだけなんだが…,https://kakuyomu.jp/works/16818093091961921077
95,俺の職業が日本人だった件。スキルボードが日本語なので俺以外誰も理解できません。壊れ職だと家を追い出されました。,https://kakuyomu.jp/works/16818093089686801017
96,普通のおっさんが女神様にスキルを貰ってスローライフ！？〜異世界と現代を往復してバレずにいい暮らしをするお話〜,https://kakuyomu.jp/works/16818093080286722080
97,異世界帰りのおっさんは元厨二病　～オリジナル厨二魔法で姪っ子を助けたら配信がバズりました。羞恥心が過酷すぎますが、家族のために無双します～,https://kakuyomu.jp/works/16818093093849148595
98,モブの俺が悪役令嬢を拾ったんだが〜ゲーム本編とか知らないし、好き勝手やります〜,https://kakuyomu.jp/works/16818093081469820220
99,ぼっち・ダンジョン,https://kakuyomu.jp/works/16818093092901915218
100,アラサーからのダンジョン探索～英雄は目指さない。マイペースに遊びながら稼ぎます～,https://kakuyomu.jp/works/16818093091603449614
101,二度目の人生は「ぐーたらライフ」で。　～働きたくないので、今のうちに魔法で開拓しておきます～,https://kakuyomu.jp/works/16816700426068945190
102,死神に憧れ冒険者になりました。組んだパーティーが悉く全滅していくせいで、冤罪なのに半ば犯罪者扱いされています。凶悪事件の黒幕とも。,https://kakuyomu.jp/works/16818622170313325082
103,私の心はおじさんである,https://kakuyomu.jp/works/16816927859486361460
104,ディープダンジョン～クラス転移でゲーム的な世界に来たが、しょっぱい能力を与えられたぼっちの俺はのんびり周回遅れで攻略を進めようと思います～,https://kakuyomu.jp/works/16818093094748589577
105,俺がSランク美少女界隈で密かに人気が出ていることなど知る由もない,https://kakuyomu.jp/works/16818622172036588601
